"participant","session","gender","age","SOA","Orientierung","stimulus","response","correct","Rating","rt","rating","rating3"
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,3.26603977688,5,3
1,1,"w",23,133.3,0,"senkrecht","waagrecht",0,0.325398641947,3.79905767634,4,2
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.904753185321,2.45780427744,5,3
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.960967421988,2.82440199308,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.28279013008,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.72444010435,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.617212176699,2.79109729667,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.38272025941,5,3
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,1,2.99083821701,5,3
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-1,3.24914923322,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.4078101802,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-1,3.49081094884,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,1,2.44920165226,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-1,2.58255870355,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.55778798071,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.976165407797,2.88251783338,5,3
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.890653849088,3.22414047533,1,1
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.0703288319219,2.38279211905,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.99107753527,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.49089499895,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-1,3.68245258226,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,3.14080767666,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.976165407797,2.5244184823,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.992217898833,2.58254138024,1,1
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.570336461433,3.5324818394,2,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.39944206124,5,3
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.882841229877,5.76556370678,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.26610810769,5,3
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-1,3.20747673865,1,1
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.929716945144,3.03250365393,1,1
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-1,2.15761866143,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.880949111162,2.5408730561,5,3
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,1,2.51593230822,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-1,2.44115369365,1,1
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-0.960967421988,2.89083141601,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.54924566629,5,3
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.34921024975,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.5160927092,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.984405279622,2.74086259796,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.19913075503,5,3
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.666651407645,3.42414669888,5,3
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-1,3.34083250673,1,1
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.90627908751,2.89918060765,1,1
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.90627908751,3.32413668986,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.820340276188,3.35751805794,1,1
