"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.256,270,"nach unten","nach unten",1,1,2.7241355748,5,3,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.54923525602,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.46590852586,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.859403372244,4.1158281489,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-1,2.71589737799,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.63655693418,5,3,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.882841229877,3.36585261006,1,1,7
"w",23,0.032,90,"nach oben","nach unten",0,-1,5.38226388086,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,4.17435206807,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.0937666895552,2.32446401194,3,2,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.50757397615,5,3,7
"w",23,0.064,90,"nach oben","nach unten",0,-0.789089799344,6.78228704277,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.812527656977,3.64109788729,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.60758048843,5,3,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,4.7990916169,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.68277071603,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.835965514611,3.69077504814,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.09918942944,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.687525749599,5.55737881622,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.742214084077,2.99089210881,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.859403372244,3.04083746018,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.828152895399,2.88260312904,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,0.984100099184,2.71613445071,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,4.08248494556,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.35758810748,5,3,7
"w",23,0.016,90,"nach oben","nach oben",1,-1,7.24891897727,1,1,7
"w",23,0.032,90,"nach oben","nach unten",0,-1,5.04074282358,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.851590753033,3.17441366206,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,-0.664087891966,4.92409791264,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.468253604944,4.17415188758,4,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,7.65723262672,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.71612995948,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.921904325933,4.66578745516,1,1,7
